COURSE TITLE,R1 2019,R2 2019,2019 Interview,2019 R1 Random
Electronic Engineering,251.0,321.0,0,0
Mechanical Engineering,243.0,302.0,0,0
Sustainable Energy Engineering,236.0,305.0,0,0
Biomedical Design,218.0,324.0,0,0
Automation Engineering,235.0,288.0,0,0
Engineering Software,243.0,304.0,0,0
Pharmaceutical Science,261.0,298.0,0,0
Computing,200.0,294.0,0,0
Computing with IT Management,243.0,309.0,0,0
DNA and Forensic Analysis,300.0,362.0,0,0
Sports Science and Health,341.0,381.0,0,0
Computing with Language (French/German/Spanish),218.0,317.0,0,0
Computing with Data Analytics,218.0,296.0,0,0
First Year Art & Design (Common Entry),,550.0,1,0
Graphic Design and Moving Image Design,,635.0,1,0
Textile & Surface Design and Jewellery & Objects,,545.0,1,0
Education & Design or Fine Art (Second Level Teaching),,580.0,1,0
Fine Art,,600.0,1,0
Fashion Design,,600.0,1,0
Product Design,,600.0,1,0
Visual Culture,300.0,338.0,0,0
Illustration,,625.0,1,0
Interaction Design,,657.0,1,0
Computing (Degree Award options),261.0,316.0,0,0
Human Resource Management,297.0,320.0,0,0
Business,297.0,339.0,0,0
Psychology,366.0,399.0,0,0
Marketing Practice,270.0,307.0,0,0
Accounting and Finance,338.0,376.0,0,0
Technology Management (with specialisations),260.0,303.0,0,0
Data Science,297.0,371.0,0,0
Medicine - Undergraduate Entry (HPAT required),729.0,733.0,1,0
Physiotherapy,532.0,542.0,0,1
Pharmacy,555.0,566.0,0,0
Medicine - Graduate Entry (GAMSAT required),60.0,62.0,1,0
Music,414.0,473.0,1,0
History,486.0,518.0,0,0
Law,532.0,552.0,0,0
Philosophy,391.0,446.0,0,0
Psychology,555.0,577.0,0,1
Clinical Speech and Language Studies,499.0,529.0,0,0
Music Education,430.0,465.0,1,0
History and Political Science,532.0,557.0,0,1
"Philosophy, Political Science, Economics and Sociology",566.0,577.0,0,0
Deaf Studies,337.0,372.0,0,0
Law and Business,576.0,589.0,0,0
Law and French,532.0,554.0,0,1
Law and German,523.0,555.0,0,0
Law and Political Science,567.0,600.0,0,0
"Classics, Ancient History and Archaeology",377.0,495.0,0,0
