CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Welfare,Social Work - Mature Applicants only,0,0.0,0,0.0,999,0.0,0,8,University College Cork (NUI),0.0,0,0
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,0.0,0,0.0,336,0.0,378,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Applied Psychology,533,1.0,532,1.0,531,1.0,555,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,0.0,0,0.0,466,0.0,496,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Government and Political Science,337,0.0,328,0.0,326,0.0,403,8,University College Cork (NUI),0.0,0,0
Humanities (except languages),Anthropology,308,0.0,0,0.0,308,0.0,410,8,University College Cork (NUI),0.0,0,0
Education,Education - Gaeilge,463,0.0,462,0.0,452,1.0,495,8,University College Cork (NUI),0.0,0,0
Education,Sports Studies and Physical Education,510,1.0,509,1.0,509,1.0,532,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce,477,1.0,0,0.0,477,1.0,509,8,University College Cork (NUI),0.0,0,0
Business and administration,Accounting,509,0.0,0,0.0,509,0.0,542,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Business Information Systems,430,0.0,0,0.0,430,0.0,467,8,University College Cork (NUI),0.0,0,0
Business and administration,Finance,556,0.0,0,0.0,556,0.0,590,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with French,445,0.0,0,0.0,445,0.0,495,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with German,420,0.0,418,0.0,418,0.0,476,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Italian,388,0.0,0,0.0,388,0.0,455,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Hispanic Studies,402,0.0,0,0.0,402,0.0,484,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Irish,484,0.0,0,0.0,484,0.0,531,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Chinese Studies,397,0.0,0,0.0,397,0.0,433,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,0.0,0,0.0,444,0.0,473,8,University College Cork (NUI),0.0,0,0
Business and administration,Food Marketing and Entrepreneurship,462,0.0,0,0.0,462,0.0,476,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,International Development,346,0.0,0,0.0,346,0.0,422,8,University College Cork (NUI),0.0,0,0
Law,Law (Pathways) -  3 or 4 years,507,0.0,499,0.0,498,1.0,531,8,University College Cork (NUI),0.0,0,0
Law,Law and French,542,0.0,0,0.0,542,0.0,576,8,University College Cork (NUI),0.0,0,0
Law,Law and Irish,540,0.0,0,0.0,540,0.0,565,8,University College Cork (NUI),0.0,0,0
Law,Law and Business,556,0.0,0,0.0,556,0.0,589,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Computer Science,468,0.0,0,0.0,468,0.0,509,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Biological and Chemical Sciences,510,1.0,509,1.0,509,0.0,532,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,"Biological, Earth and Environmental Sciences",467,0.0,0,0.0,465,0.0,498,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Genetics,487,0.0,0,0.0,487,0.0,498,8,University College Cork (NUI),0.0,0,0
Physical sciences,Chemical Sciences,485,0.0,472,0.0,462,0.0,494,8,University College Cork (NUI),0.0,0,0
Mathematics and statistics,Mathematical Sciences,566,0.0,565,1.0,565,0.0,601,8,University College Cork (NUI),0.0,0,0
