CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Business and administration,Enterprise and Innovation,LC226,234,0.0,234,0.0,234,0.0,310,8,Limerick Institute of Technology,0.0,avp,0
Personal services,Sports Development and Coaching,LC228,205,0.0,0,0.0,205,0.0,341,6,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Business with Computing,LC230,217,0.0,0,0.0,217,0.0,386,7,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Development,LC233,272,0.0,0,0.0,272,0.0,339,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Interactive Digital Media,LC234,225,0.0,0,0.0,225,0.0,307,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Internet Systems Development,LC235,205,0.0,0,0.0,205,0.0,315,7,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Internet Systems Development,LC236,262,0.0,260,0.0,260,0.0,272,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Networks and Systems Management,LC239,307,0.0,0,0.0,309,0.0,371,8,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Construction Management,LC241,255,0.0,0,0.0,255,0.0,338,8,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Property Valuation and Management,LC242,282,0.0,0,0.0,282,0.0,320,8,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Quantity Surveying,LC243,294,0.0,0,0.0,298,0.0,362,8,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Built Environment (Common Entry),LC248,288,0.0,0,0.0,288,0.0,376,8,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,LC251,206,0.0,0,0.0,206,0.0,377,7,Limerick Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering Management,LC252,270,0.0,0,0.0,270,0.0,308,8,Limerick Institute of Technology,0.0,0,0
Arts,Interior Design,LC257,264,0.0,0,0.0,264,0.0,378,7,Limerick Institute of Technology,0.0,0,0
Biological and related sciences,Applied Biology,LC260,326,0.0,0,0.0,326,0.0,466,7,Limerick Institute of Technology,0.0,0,0
Health,Clinical Technology,LC263,294,0.0,0,0.0,294,0.0,359,8,Limerick Institute of Technology,0.0,0,0
Physical sciences,Forensic and Pharmaceutical Sciences,LC265,413,0.0,0,0.0,413,0.0,476,8,Limerick Institute of Technology,0.0,0,0
Environment,Drug and Medicinal Product Analysis,LC266,262,0.0,0,0.0,262,0.0,300,8,Limerick Institute of Technology,0.0,0,0
Physical sciences,Forensic and Pharmaceutical Sciences,LC267,329,0.0,0,0.0,329,0.0,443,7,Limerick Institute of Technology,0.0,0,0
Health,Medical Technology,LC268,289,0.0,0,0.0,289,0.0,411,7,Limerick Institute of Technology,0.0,0,0
Arts,Music Technology and Production,LC270,307,0.0,0,0.0,307,0.0,398,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Electrical Engineering,LC271,261,0.0,0,0.0,261,0.0,348,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Electrical Engineering,LC275,298,0.0,0,0.0,298,0.0,384,8,Limerick Institute of Technology,0.0,0,0
Arts,Creative Broadcast and Film Production,LC276,297,0.0,0,0.0,297,0.0,409,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,232,0.0,0,0.0,232,0.0,342,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,280,0.0,0,0.0,280,0.0,387,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,LC279,214,0.0,0,0.0,226,0.0,392,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Automobile Technology,LC281,208,0.0,0,0.0,208,0.0,332,6,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Precision Engineering,LC283,227,0.0,0,0.0,233,0.0,296,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,0.0,0,0.0,200,0.0,315,6,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,LC285,272,0.0,0,0.0,272,0.0,455,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Road Transport Technology and Management,LC286,264,0.0,0,0.0,264,0.0,360,7,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,LC288,347,0.0,346,0.0,346,0.0,415,8,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Precision Engineering,LC289,291,0.0,0,0.0,291,0.0,350,8,Limerick Institute of Technology,0.0,0,0
Personal services,Community Sport Development,LC290,188,0.0,0,0.0,188,0.0,312,7,Limerick Institute of Technology,0.0,0,0
Welfare,Social Care Work,LC292,367,0.0,0,0.0,367,0.0,389,8,Limerick Institute of Technology,0.0,0,0
Personal services,Business Studies with Travel and Tourism Management,LC293,307,0.0,0,0.0,307,0.0,356,8,Limerick Institute of Technology,0.0,0,0
Personal services,Business Studies with Event Management,LC294,279,0.0,0,0.0,279,0.0,347,8,Limerick Institute of Technology,0.0,0,0
Business and administration,Business Studies with Sports Management,LC295,252,0.0,0,0.0,252,0.0,313,8,Limerick Institute of Technology,0.0,0,0
Social and behavioural sciences,Community Development,LC297,235,0.0,0,0.0,235,0.0,298,8,Limerick Institute of Technology,0.0,0,0
Business and administration,Business,LC320,346,0.0,0,0.0,346,0.0,388,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Business with Computing,LC330,297,0.0,0,0.0,297,0.0,378,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computing,LC336,207,0.0,0,0.0,222,0.0,337,7,Limerick Institute of Technology,0.0,0,0
Arts,Interior Design,LC340,350,0.0,0,0.0,350,0.0,391,8,Limerick Institute of Technology,0.0,0,0
Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,413,0.0,0,0.0,413,0.0,440,8,Limerick Institute of Technology,0.0,0,0
Arts,Creative Broadcast and Film Production,LC371,309,0.0,0,0.0,309,0.0,378,8,Limerick Institute of Technology,0.0,0,0
Arts,Music Technology and Production,LC372,325,0.0,0,0.0,325,0.0,402,8,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,318,0.0,0,0.0,318,0.0,410,8,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,317,0.0,0,0.0,317,0.0,392,8,Limerick Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,LC376,318,0.0,0,0.0,318,0.0,358,8,Limerick Institute of Technology,0.0,0,0
Transport services,Automotive Engineering and Transport Management,LC380,303,0.0,298,0.0,298,0.0,337,8,Limerick Institute of Technology,0.0,0,0
Personal services,Business Studies in Beauty and Spa Management,LC392,236,0.0,0,0.0,236,0.0,328,8,Limerick Institute of Technology,0.0,0,0
Welfare,Early Childhood Education and Care,LC393,236,0.0,0,0.0,236,0.0,307,8,Limerick Institute of Technology,0.0,0,0
Personal services,Culinary Arts,LC398,163,0.0,0,0.0,163,0.0,376,7,Limerick Institute of Technology,0.0,0,0
Personal services,Hospitality Supervision,LC399,148,0.0,0,0.0,148,0.0,300,7,Limerick Institute of Technology,0.0,0,0
Welfare,Early Childhood Education and Care,LC401,297,0.0,0,0.0,297,0.0,298,8,Limerick Institute of Technology,0.0,0,0
Welfare,Social Care Work,LC402,225,0.0,0,0.0,225,0.0,288,8,Limerick Institute of Technology,0.0,0,0
Environment,Environmental Science and Climate,LC408,279,0.0,0,0.0,279,0.0,348,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,236,0.0,0,0.0,236,0.0,336,8,Limerick Institute of Technology,0.0,0,0
Business and administration,Business,LC415,197,0.0,0,0.0,197,0.0,444,7,Limerick Institute of Technology,0.0,0,0
Business and administration,Business,LC416,274,0.0,0,0.0,274,0.0,391,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,270,0.0,0,0.0,270,0.0,338,8,Limerick Institute of Technology,0.0,0,0
Personal services,Sports Strength and Conditioning,LC422,298,0.0,0,0.0,298,0.0,347,8,Limerick Institute of Technology,0.0,0,0
Personal services,Sports Strength and Conditioning,LC423,157,0.0,0,0.0,157,0.0,330,7,Limerick Institute of Technology,0.0,0,0
Environment,Environmental Science,LC425,278,0.0,0,0.0,278,0.0,399,7,Limerick Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,278,0.0,0,0.0,278,0.0,429,7,Limerick Institute of Technology,0.0,0,0
Welfare,Early Childhood Education and Care,LC432,144,0.0,0,0.0,144,0.0,367,7,Limerick Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,297,0.0,0,0.0,297,0.0,349,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,852,0.0,0,0.0,852,0.0,1024,8,Limerick Institute of Technology,1.0,0,0
Information and Communication Technologies (ICTs),Creative Media and Design,LC504,192,0.0,0,0.0,192,0.0,378,7,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Creative Media and Design,LC517,234,0.0,0,0.0,234,0.0,327,8,Limerick Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,808,0.0,0,0.0,808,0.0,939,8,Limerick Institute of Technology,1.0,0,0
Welfare,Social Care Work,LC602,260,0.0,0,0.0,260,0.0,370,7,Limerick Institute of Technology,0.0,0,0
Welfare,Early Childhood Education and Care,LC603,147,0.0,0,0.0,174,0.0,327,7,Limerick Institute of Technology,0.0,0,0
Business and administration,Business,LC605,195,0.0,0,0.0,195,0.0,418,7,Limerick Institute of Technology,0.0,0,0
Welfare,Social Care Work,LC612,320,0.0,0,0.0,320,0.0,343,8,Limerick Institute of Technology,0.0,0,0
Welfare,Early Childhood Education and Care,LC613,242,0.0,0,0.0,242,0.0,327,8,Limerick Institute of Technology,0.0,0,0
Humanities (except languages),Arts,LM002,348,0.0,0,0.0,348,0.0,410,8,University of Limerick,0.0,0,0
Law,Law and Accounting,LM020,465,0.0,0,0.0,465,0.0,499,8,University of Limerick,0.0,0,0
Arts,Performing Arts (audition required),LM026,303,0.0,0,0.0,303,0.0,401,8,University of Limerick,1.0,0,0
Law,Criminal Justice,LM028,418,0.0,0,0.0,418,0.0,440,8,University of Limerick,0.0,0,0
Law,Law Plus,LM029,490,0.0,0,0.0,490,0.0,521,8,University of Limerick,0.0,0,0
Social and behavioural sciences,Psychology and Sociology,LM038,500,0.0,0,0.0,500,0.0,507,8,University of Limerick,0.0,0,0
Journalism and information,Journalism and Digital Communication,LM039,402,0.0,0,0.0,402,0.0,455,8,University of Limerick,0.0,0,0
Humanities (except languages),European Studies,LM040,369,0.0,0,0.0,369,0.0,488,8,University of Limerick,0.0,0,0
Languages,Applied Languages,LM044,442,0.0,0,0.0,442,0.0,499,8,University of Limerick,0.0,0,0
Business and administration,Business Studies (options),LM050,431,0.0,0,0.0,431,0.0,476,8,University of Limerick,0.0,0,0
Business and administration,International Business,LM056,528,0.0,0,0.0,528,0.0,555,8,University of Limerick,0.0,0,0
Mathematics and statistics,Financial Mathematics,LM058,403,0.0,0,0.0,403,0.0,521,8,University of Limerick,0.0,0,0
Information and Communication Technologies (ICTs),Technology Management,LM063,379,0.0,0,0.0,379,0.0,419,8,University of Limerick,0.0,0,0
Manufacturing and processing,Food Science and Health,LM068,421,0.0,0,0.0,421,0.0,454,8,University of Limerick,0.0,0,0
Manufacturing and processing,Product Design and Technology (portfolio required),LM076,408,0.0,0,0.0,408,0.0,487,8,University of Limerick,1.0,0,0
Engineering and engineering trades,Aeronautical Engineering,LM077,520,0.0,0,0.0,520,0.0,554,8,University of Limerick,0.0,0,0
Manufacturing and processing,Construction Management and Engineering,LM082,398,0.0,0,0.0,398,0.0,434,8,University of Limerick,0.0,0,0
Personal services,Sport and Exercise Sciences,LM089,474,0.0,0,0.0,474,0.0,489,8,University of Limerick,0.0,0,0
Education,Physical Education with concurrent Teacher Education,LM090,532,1.0,0,0.0,532,1.0,565,8,University of Limerick,0.0,0,0
Education,Languages with concurrent Teacher Education,LM091,517,0.0,0,0.0,517,0.0,543,8,University of Limerick,0.0,0,0
Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,0.0,0,0.0,507,0.0,531,8,University of Limerick,0.0,0,0
Biological and related sciences,Equine Science,LM093,339,0.0,0,0.0,339,0.0,412,8,University of Limerick,0.0,0,0
Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,0.0,0,0.0,440,0.0,478,8,University of Limerick,0.0,0,0
Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,0.0,0,0.0,367,0.0,421,8,University of Limerick,0.0,0,0
Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,0.0,0,0.0,405,0.0,454,8,University of Limerick,0.0,0,0
Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,0.0,0,0.0,402,0.0,509,8,University of Limerick,0.0,0,0
Architecture and construction,Architecture (portfolio requirement suspended),LM099,498,0.0,0,0.0,498,0.0,532,8,University of Limerick,1.0,0,0
Health,Physiotherapy,LM100,589,1.0,0,0.0,589,1.0,601,8,University of Limerick,0.0,0,0
Health,Medicine  - Graduate Entry (GAMSAT required),LM101,55,1.0,0,0.0,55,1.0,57,8,University of Limerick,1.0,0,0
Social and behavioural sciences,Psychology,LM102,509,0.0,0,0.0,509,0.0,529,8,University of Limerick,0.0,0,0
Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,0.0,0,0.0,392,0.0,445,8,University of Limerick,1.0,0,0
Physical sciences,Chemical and Biochemical Engineering,LM115,454,0.0,0,0.0,454,0.0,532,8,University of Limerick,0.0,0,0
Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,1.0,0,0.0,476,1.0,521,8,University of Limerick,0.0,0,0
Engineering and engineering trades,Electronic and Computer Engineering,LM118,403,0.0,0,0.0,403,0.0,489,8,University of Limerick,0.0,0,0
Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,0.0,0,0.0,351,0.0,423,8,University of Limerick,0.0,0,0
Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,0.0,0,0.0,327,0.0,401,8,University of Limerick,0.0,0,0
Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,1.0,0,0.0,441,1.0,478,8,University of Limerick,0.0,0,0
Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,0.0,0,0.0,437,0.0,509,8,University of Limerick,0.0,0,0
Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,404,0.0,0,0.0,404,0.0,520,8,University of Limerick,0.0,0,0
Health,General Nursing,LM150,475,1.0,0,0.0,475,1.0,498,8,University of Limerick,0.0,0,0
Health,Mental Health Nursing,LM152,419,1.0,0,0.0,419,1.0,430,8,University of Limerick,0.0,0,0
Health,Intellectual Disability Nursing,LM154,420,0.0,0,0.0,440,0.0,473,8,University of Limerick,0.0,0,0
Health,Midwifery,LM156,469,0.0,0,0.0,469,0.0,499,8,University of Limerick,0.0,0,0
Biological and related sciences,Equine Science,LM180,337,0.0,0,0.0,328,0.0,440,6,University of Limerick,0.0,0,0
Business and administration,Business - Common Entry,LY107,161,0.0,161,0.0,161,0.0,358,7,Letterkenny Institute of Technology,0.0,avp,0
Business and administration,Business - Accounting,LY108,309,0.0,0,0.0,309,0.0,431,8,Letterkenny Institute of Technology,0.0,0,0
Business and administration,Business,LY118,290,0.0,0,0.0,290,0.0,377,8,Letterkenny Institute of Technology,0.0,0,0
Personal services,Sports Studies,LY206,149,0.0,148,0.0,148,0.0,299,6,Letterkenny Institute of Technology,0.0,avp,0
Law,Law with Criminal Justice,LY207,160,0.0,160,0.0,160,0.0,377,7,Letterkenny Institute of Technology,0.0,avp,0
Law,Law,LY208,300,0.0,0,0.0,300,0.0,367,8,Letterkenny Institute of Technology,0.0,0,0
Personal services,Sports and Exercise - Common Entry,LY228,300,0.0,0,0.0,300,0.0,367,8,Letterkenny Institute of Technology,0.0,0,0
Personal services,Culinary Arts,LY317,229,0.0,224,0.0,224,0.0,387,7,Letterkenny Institute of Technology,0.0,avp,0
Personal services,Hospitality And Tourism - Common Entry,LY327,170,0.0,170,0.0,170,0.0,317,7,Letterkenny Institute of Technology,0.0,avp,0
Arts,Design - Common Entry,LY408,320,0.0,0,0.0,320,0.0,381,8,Letterkenny Institute of Technology,1.0,0,0
Arts,Digital Film and Video,LY427,172,0.0,170,0.0,172,0.0,307,7,Letterkenny Institute of Technology,0.0,avp,0
Arts,Animation,LY437,198,0.0,223,0.0,198,0.0,387,7,Letterkenny Institute of Technology,1.0,avp,0
Arts,Fashion with Promotion,LY447,266,0.0,279,0.0,266,0.0,384,7,Letterkenny Institute of Technology,1.0,avp,0
Arts,Graphic and Digital Design,LY457,179,0.0,204,0.0,189,0.0,356,7,Letterkenny Institute of Technology,1.0,avp,v
Architecture and construction,Quantity Surveying,LY507,181,0.0,181,0.0,181,0.0,312,7,Letterkenny Institute of Technology,0.0,avp,0
Architecture and construction,Fire Safety Engineering,LY508,276,0.0,0,0.0,276,0.0,326,8,Letterkenny Institute of Technology,0.0,0,0
Architecture and construction,Quantity Surveying,LY518,301,0.0,0,0.0,301,0.0,368,8,Letterkenny Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,LY527,165,0.0,163,0.0,163,0.0,329,7,Letterkenny Institute of Technology,0.0,avp,0
Architecture and construction,Construction Management,LY528,271,0.0,0,0.0,271,0.0,321,8,Letterkenny Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,LY607,160,0.0,0,0.0,160,0.0,389,7,Letterkenny Institute of Technology,0.0,avp,0
Engineering and engineering trades,Mechanical Engineering,LY608,300,0.0,0,0.0,300,0.0,379,8,Letterkenny Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,LY617,180,0.0,180,0.0,180,0.0,328,7,Letterkenny Institute of Technology,0.0,avp,0
Engineering and engineering trades,Electronic Engineering,LY618,312,0.0,0,0.0,312,0.0,402,8,Letterkenny Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Games Development,LY707,204,0.0,0,0.0,204,0.0,299,7,Letterkenny Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Applied Computing,LY708,306,0.0,0,0.0,306,0.0,372,8,Letterkenny Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computing,LY717,164,0.0,160,0.0,160,0.0,350,7,Letterkenny Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,169,0.0,169,0.0,169,0.0,348,7,Letterkenny Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computer Science,LY748,317,0.0,317,0.0,317,0.0,420,8,Letterkenny Institute of Technology,0.0,avp,0
Health,Pharmacy Technician,LY806,232,0.0,0,0.0,232,0.0,377,6,Letterkenny Institute of Technology,0.0,0,0
Health,Dental Nursing,LY816,233,0.0,223,0.0,223,0.0,326,6,Letterkenny Institute of Technology,0.0,0,0
Biological and related sciences,Bioscience,LY817,248,0.0,0,0.0,248,0.0,420,7,Letterkenny Institute of Technology,0.0,0,0
Biological and related sciences,Science - Common Entry,LY818,303,0.0,0,0.0,303,0.0,409,8,Letterkenny Institute of Technology,0.0,0,0
Health,Health Science with Physiotherapy Studies,LY826,456,0.0,401,0.0,339,0.0,445,6,Letterkenny Institute of Technology,0.0,0,0
Agriculture,Agriculture - Common Entry,LY828,307,0.0,0,0.0,307,0.0,351,8,Letterkenny Institute of Technology,0.0,0,0
Health,Health Science with Occupational Therapy Studies,LY836,473,0.0,408,0.0,278,0.0,451,6,Letterkenny Institute of Technology,0.0,0,0
Biological and related sciences,Food Science and Nutrition,LY837,194,0.0,194,0.0,194,0.0,388,7,Letterkenny Institute of Technology,0.0,avp,0
Health,Health Science with Dietetics Studies,LY846,316,0.0,316,0.0,291,0.0,462,6,Letterkenny Institute of Technology,0.0,avp,0
Veterinary,Veterinary Nursing,LY847,367,1.0,367,0.0,367,0.0,399,7,Letterkenny Institute of Technology,0.0,0,0
Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,163,0.0,163,0.0,163,0.0,310,7,Letterkenny Institute of Technology,0.0,avp,0
Agriculture,Agriculture,LY877,202,0.0,181,0.0,181,0.0,327,7,Letterkenny Institute of Technology,0.0,0,0
Welfare,"Early Childhood Care, Health and Education",LY906,205,0.0,161,0.0,161,0.0,356,6,Letterkenny Institute of Technology,0.0,0,0
Health,General Nursing,LY908,400,1.0,0,0.0,400,1.0,423,8,Letterkenny Institute of Technology,0.0,0,0
Health,Health and Social Care,LY916,181,0.0,0,0.0,181,0.0,336,6,Letterkenny Institute of Technology,0.0,0,0
Health,Psychiatric Nursing,LY918,357,1.0,0,0.0,357,0.0,387,8,Letterkenny Institute of Technology,0.0,0,0
Health,Intellectual Disability Nursing,LY928,326,1.0,0,0.0,328,0.0,346,8,Letterkenny Institute of Technology,0.0,0,0
Welfare,"Early Childhood Care, Health and Education",LY968,303,0.0,0,0.0,303,0.0,361,8,Letterkenny Institute of Technology,0.0,0,0
Health,Health & Social Care - Common Entry,LY978,280,0.0,0,0.0,280,0.0,330,8,Letterkenny Institute of Technology,0.0,0,0
Education,Education - Primary Teaching (Froebel),MH001,507,0.0,0,0.0,507,0.0,531,8,Maynooth University,0.0,0,0
Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,0,0.0,0,0.0,0,0.0,0,8,Maynooth University,1.0,0,0
Humanities (except languages),Arts,MH101,318,0.0,0,0.0,318,0.0,388,8,Maynooth University,0.0,0,0
Arts,Music,MH103,,0.0,0,0.0,1,0.0,1,8,Maynooth University,1.0,0,0
Social and behavioural sciences,Psychology - 3 years,MH106,521,0.0,0,0.0,521,0.0,529,8,Maynooth University,0.0,0,0
Social and behavioural sciences,Social Science,MH107,346,0.0,0,0.0,346,0.0,388,8,Maynooth University,0.0,0,0
Arts,Media Studies,MH109,316,0.0,0,0.0,316,0.0,377,8,Maynooth University,0.0,0,0
Welfare,Community and Youth Work (Full-Time),MH116,,0.0,0,0.0,1,0.0,1,8,Maynooth University,1.0,0,0
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,360,0.0,0,0.0,360,0.0,418,8,Maynooth University,0.0,0,0
Biological and related sciences,Biotechnology,MH202,455,0.0,0,0.0,455,0.0,466,8,Maynooth University,0.0,0,0
Biological and related sciences,Biological and Geographical Sciences,MH203,430,0.0,0,0.0,430,0.0,465,8,Maynooth University,0.0,0,0
Physical sciences,Physics with Astrophysics,MH204,422,0.0,0,0.0,422,0.0,479,8,Maynooth University,0.0,0,0
Mathematics and statistics,Theoretical Physics and Mathematics,MH206,510,0.0,0,0.0,510,0.0,533,8,Maynooth University,0.0,0,0
Information and Communication Technologies (ICTs),Data Science,MH207,445,0.0,0,0.0,445,0.0,520,8,Maynooth University,0.0,0,0
Biological and related sciences,Biological and Biomedical Sciences,MH208,498,0.0,0,0.0,498,0.0,510,8,Maynooth University,0.0,0,0
Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,498,0.0,0,0.0,498,0.0,510,8,Maynooth University,0.0,0,0
Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,487,0.0,0,0.0,487,0.0,520,8,Maynooth University,0.0,0,0
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,0.0,0,0.0,422,0.0,487,8,Maynooth University,0.0,0,0
Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,333,0.0,333,0.0,333,0.0,444,8,Maynooth University,0.0,avp,0
Engineering and engineering trades,Product Design,MH305,357,0.0,0,0.0,357,0.0,409,8,Maynooth University,0.0,0,0
Engineering and engineering trades,Robotics and Intelligent Devices,MH306,361,0.0,0,0.0,361,0.0,433,8,Maynooth University,0.0,0,0
Business and administration,Finance (options),MH401,357,0.0,0,0.0,357,0.0,398,8,Maynooth University,0.0,0,0
Business and administration,Quantitative Finance,MH402,476,0.0,0,0.0,476,0.0,509,8,Maynooth University,0.0,0,0
Business and administration,Accounting and Finance,MH403,422,0.0,0,0.0,422,0.0,468,8,Maynooth University,0.0,0,0
Business and administration,Business (options),MH404,430,0.0,0,0.0,430,0.0,454,8,Maynooth University,0.0,0,0
Business and administration,Equine Business,MH405,357,0.0,0,0.0,357,0.0,408,8,Maynooth University,0.0,0,0
Business and administration,Business and Accounting,MH407,420,0.0,0,0.0,420,0.0,462,8,Maynooth University,0.0,0,0
Business and administration,Entrepreneurship,MH411,371,0.0,0,0.0,371,0.0,408,8,Maynooth University,0.0,0,0
Law,LLB Law - four year Single Major Law programme,MH501,473,0.0,0,0.0,473,0.0,495,8,Maynooth University,0.0,0,0
Law,Law (options),MH502,451,0.0,0,0.0,451,0.0,473,8,Maynooth University,0.0,0,0
Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,352,0.0,0,0.0,352,0.0,403,8,Maynooth University,0.0,0,0
Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,351,0.0,0,0.0,351,0.0,409,8,Maynooth University,0.0,0,0
Information and Communication Technologies (ICTs),Computational Thinking,MH603,532,0.0,0,0.0,532,0.0,544,8,Maynooth University,0.0,0,0
Education,Early Childhood - Teaching and Learning (part-time),MH801,327,0.0,0,0.0,327,0.0,378,8,Maynooth University,0.0,0,0
Welfare,"Community and Youth Work (part-time, in service)",MH802,,0.0,1,0.0,1,0.0,0,8,Maynooth University,1.0,avp,0
Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,,0.0,1,0.0,1,0.0,0,8,Maynooth University,1.0,avp,0
Arts,Contemporary & Applied Theatre Studies,MI001,375,0.0,0,0.0,390,0.0,412,8,Mary Immaculate College,0.0,0,0
Arts,Arts,MI002,300,0.0,281,0.0,281,0.0,389,8,Mary Immaculate College,0.0,0,0
Education,Education - Primary Teaching - International,MI004,577,0.0,0,0.0,577,0.0,589,8,Mary Immaculate College,0.0,0,0
Education,Education - Primary Teaching,MI005,495,0.0,0,0.0,495,0.0,521,8,Mary Immaculate College,0.0,0,0
Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,0.0,0,0.0,462,0.0,519,8,Mary Immaculate College,1.0,0,0
Education,Early Childhood Care and Education,MI007,357,0.0,0,0.0,357,0.0,409,8,Mary Immaculate College,0.0,0,0
Education,Education and Psychology - Primary Teaching,MI008,588,0.0,0,0.0,588,0.0,601,8,Mary Immaculate College,0.0,0,0
Education,"Education, Business Studies and Accounting",MI009,402,0.0,0,0.0,402,0.0,455,8,Mary Immaculate College,0.0,0,0
Education,"Education, Business Studies and Religious Studies",MI010,368,0.0,0,0.0,368,0.0,389,8,Mary Immaculate College,0.0,0,0
Education,"Education, Gaeilge and Religious Studies",MI011,409,0.0,0,0.0,409,0.0,451,8,Mary Immaculate College,0.0,0,0
Education,"Education, Gaeilge and Business Studies",MI012,401,0.0,0,0.0,401,0.0,463,8,Mary Immaculate College,0.0,0,0
