COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Computing (Web and Mobile Technology),227.0,269.0,8,0,0
Audio Production and Music Project Management,233.0,293.0,8,0,0
Business Studies,229.0,301.0,8,0,0
Business Studies (Law),269.0,337.0,8,0,0
Business Studies (Human Resource Management),225.0,288.0,8,0,0
Financial Services,328.0,336.0,8,0,0
Event Management,226.0,327.0,8,0,0
Marketing (Digital Media),210.0,289.0,8,0,0
Accounting and Finance,225.0,271.0,8,0,0
Business Information Systems,402.0,402.0,8,0,0
Marketing (Digital Media and Cloud Computing),284.0,309.0,8,0,0
Business Information Systems (Cloud Computing),253.0,288.0,8,0,0
Applied Social Care,235.0,288.0,8,0,0
Marketing,220.0,288.0,8,0,0
Psychology,208.0,310.0,8,0,0
Social Science,216.0,308.0,8,0,0
Film,192.0,295.0,8,0,0
Law,245.0,308.0,8,0,0
Business (Psychology),279.0,338.0,8,0,0
Education - Early Childhood Education,398.0,424.0,8,0,0
Education - Primary Teaching,462.0,485.0,8,0,1
Education - Primary Teaching - Gaeltacht Applicants,433.0,473.0,8,1,0
Education - Primary Teaching (Church of Ireland Centre formerly CICE),357.0,,8,1,0
Education - Primary Teaching - Irish Sign Language,316.0,316.0,8,1,0
Arts (Joint Honours) - Humanities,347.0,408.0,8,0,0
Post Primary Teacher Education - Religious Education and English,386.0,413.0,8,0,0
Post Primary Teacher Education - Religious Education and History,352.0,389.0,8,0,0
Post Primary Teacher Education - Religious Education and Music,367.0,415.0,8,1,0
Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509.0,8,0,0
BA in Jazz and Contemporary Music Performance,428.0,590.0,8,1,0
Business Studies International,440.0,462.0,8,0,0
Business Studies,463.0,479.0,8,0,0
Global Business (France),495.0,510.0,8,0,0
Global Business (Germany),440.0,476.0,8,0,0
Global Business (Spain),501.0,543.0,8,0,0
Accounting and Finance,487.0,500.0,8,0,0
Global Business (USA),578.0,589.0,8,0,0
Aviation Management / Aviation Management with Pilot Studies,463.0,487.0,8,0,0
Gnó agus Gaeilge / Business and Irish,357.0,399.0,8,0,0
Global Business (Canada),566.0,577.0,8,0,0
Enterprise Computing,350.0,389.0,8,0,0
Computer Applications,370.0,418.0,8,0,0
Data Science,467.0,511.0,8,0,0
Actuarial Mathematics,520.0,543.0,8,0,0
Common Entry into Actuarial and Financial Mathematics,509.0,531.0,8,0,0
Communication Studies,400.0,441.0,8,0,0
Journalism,401.0,440.0,8,0,0
Multimedia,403.0,451.0,8,0,0
Applied Language and Translation Studies,371.0,430.0,8,0,0
Analytical Science,446.0,463.0,8,0,0
Chemical and Pharmaceutical Sciences,488.0,498.0,8,0,0
Environmental Science and Technology,412.0,442.0,8,0,0
Physics with Astronomy,434.0,477.0,8,0,0
Genetics and Cell Biology,489.0,500.0,8,0,0
Applied Physics,402.0,433.0,8,0,0
Physics with Biomedical Sciences,402.0,458.0,8,0,0
Biotechnology,476.0,488.0,8,0,0
Electronic and Computer Engineering (with choice of four majors),391.0,433.0,8,0,0
Mechatronic Engineering,404.0,445.0,8,0,0
Mechanical and Manufacturing Engineering,401.0,444.0,8,0,0
Biomedical Engineering,402.0,446.0,8,0,0
Common Entry into Engineering (Undenominated Entry),381.0,444.0,8,0,0
Common Entry into Science (Undenominated Entry),454.0,477.0,8,0,0
Sport Science and Health,467.0,476.0,8,0,0
