CATEGORY,COURSE TITLE,COURSE CODE,R1 2020,2020 R1 Random,R2 2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,Course Level,HEI,2020 Interview,avp,v
Education,Sports Studies and Physical Education,510.0,1.0,509.0,1.0,509,1.0,532,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce,477.0,1.0,,0.0,477,1.0,509,8,University College Cork (NUI),0.0,,,CK
Business and administration,Accounting,509.0,0.0,,0.0,509,,542,8,University College Cork (NUI),0.0,,,CK
Information and Communication Technologies (ICTs),Business Information Systems,430.0,0.0,,0.0,430,,467,8,University College Cork (NUI),0.0,,,CK
Business and administration,Finance,556.0,0.0,,0.0,556,,590,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with French,445.0,0.0,,0.0,445,,495,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with German,420.0,0.0,418.0,0.0,418,,476,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with Italian,388.0,0.0,,0.0,388,,455,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with Hispanic Studies,402.0,0.0,,0.0,402,,484,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with Irish,484.0,0.0,,0.0,484,,531,8,University College Cork (NUI),0.0,,,CK
Business and administration,Commerce (International) with Chinese Studies,397.0,0.0,,0.0,397,,433,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444.0,0.0,,0.0,444,,473,8,University College Cork (NUI),0.0,,,CK
Business and administration,Food Marketing and Entrepreneurship,462.0,0.0,,0.0,462,,476,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,International Development,346.0,0.0,,0.0,346,,422,8,University College Cork (NUI),0.0,,,CK
Law,Law (Pathways) -  3 or 4 years,507.0,0.0,499.0,0.0,498,1.0,531,8,University College Cork (NUI),0.0,,,CK
Law,Law and French,542.0,0.0,,0.0,542,,576,8,University College Cork (NUI),0.0,,,CK
Law,Law and Irish,540.0,0.0,,0.0,540,,565,8,University College Cork (NUI),0.0,,,CK
Law,Law and Business,556.0,0.0,,0.0,556,,589,8,University College Cork (NUI),0.0,,,CK
Information and Communication Technologies (ICTs),Computer Science,468.0,0.0,,0.0,468,,509,8,University College Cork (NUI),0.0,,,CK
Biological and related sciences,Biological and Chemical Sciences,510.0,1.0,509.0,1.0,509,,532,8,University College Cork (NUI),0.0,,,CK
Biological and related sciences,"Biological, Earth and Environmental Sciences",467.0,0.0,,0.0,465,,498,8,University College Cork (NUI),0.0,,,CK
Biological and related sciences,Genetics,487.0,0.0,,0.0,487,,498,8,University College Cork (NUI),0.0,,,CK
Physical sciences,Chemical Sciences,485.0,0.0,472.0,0.0,462,,494,8,University College Cork (NUI),0.0,,,CK
Mathematics and statistics,Mathematical Sciences,566.0,0.0,565.0,1.0,565,,601,8,University College Cork (NUI),0.0,,,CK
Physical sciences,Physics and Astrophysics,554.0,0.0,542.0,0.0,531,1.0,589,8,University College Cork (NUI),0.0,,,CK
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,432.0,0.0,,0.0,432,,499,8,University College Cork (NUI),0.0,,,CK
Information and Communication Technologies (ICTs),Data Science and Analytics,510.0,0.0,,0.0,509,,554,8,University College Cork (NUI),0.0,,,CK
Agriculture,Agricultural Science,496.0,1.0,496.0,1.0,489,1.0,510,8,University College Cork (NUI),0.0,,,CK
Biological and related sciences,Nutritional Sciences,518.0,0.0,,0.0,517,1.0,554,8,University College Cork (NUI),0.0,,,CK
Manufacturing and processing,Food Science,441.0,0.0,440.0,1.0,420,,465,8,University College Cork (NUI),0.0,,,CK
Engineering and engineering trades,Engineering,487.0,0.0,,0.0,487,,532,8,University College Cork (NUI),0.0,,,CK
Architecture and construction,Architecture - Offered jointly by UCC and CIT,484.0,0.0,476.0,0.0,469,,510,8,University College Cork (NUI),0.0,,,CK
Health,Medicine (Undergraduate Entry - HPAT required),731.0,0.0,,0.0,731,,739,8,University College Cork (NUI),1.0,,,CK
Health,Dentistry,613.0,1.0,613.0,1.0,613,1.0,613,8,University College Cork (NUI),0.0,,,CK
Health,Pharmacy,590.0,0.0,589.0,1.0,589,1.0,602,8,University College Cork (NUI),0.0,,,CK
Health,Occupational Therapy,566.0,0.0,555.0,1.0,555,1.0,577,8,University College Cork (NUI),0.0,,,CK
Health,Speech and Language Therapy,520.0,0.0,,0.0,520,,541,8,University College Cork (NUI),0.0,,,CK
Health,Public Health Sciences,454.0,0.0,,0.0,454,,477,8,University College Cork (NUI),0.0,,,CK
Health,Medical and Health Sciences,542.0,0.0,541.0,0.0,541,,555,8,University College Cork (NUI),0.0,,,CK
Health,General Nursing,454.0,1.0,,0.0,454,1.0,477,8,University College Cork (NUI),0.0,,,CK
Health,Children`s and General Nursing (Integrated),533.0,0.0,,0.0,533,,553,8,University College Cork (NUI),0.0,,,CK
Health,Mental Health Nursing,423.0,0.0,,0.0,419,,440,8,University College Cork (NUI),0.0,,,CK
Health,Intellectual Disability Nursing,419.0,0.0,411.0,0.0,400,,433,8,University College Cork (NUI),0.0,,,CK
Health,Midwifery,484.0,0.0,,0.0,473,1.0,507,8,University College Cork (NUI),0.0,,,CK
Health,Medicine  - Graduate Entry (GAMSAT required),57.0,1.0,,0.0,57,1.0,58,8,University College Cork (NUI),1.0,,,CK
Education,Education - Primary Teaching,484.0,1.0,,0.0,484,1.0,487,8,Marino Institute of Education,0.0,,,CM
Education,Education - Primary Teaching - Gaeltacht Applicants,,0.0,,0.0,,,,8,Marino Institute of Education,1.0,,,CM
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528.0,0.0,,0.0,528,,570,8,Marino Institute of Education,1.0,,,CM
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494.0,0.0,,0.0,494,,513,8,Marino Institute of Education,1.0,,,CM
Education,Education Studies,319.0,0.0,,0.0,317,,407,8,Marino Institute of Education,0.0,avp,,CM
Education,Early Childhood Education,327.0,0.0,,0.0,327,,390,8,Marino Institute of Education,0.0,,,CM
Physical sciences,Applied Physics and Instrumentation,250.0,0.0,,0.0,250,,487,7,Cork Institute of Technology,0.0,,,CR
Biological and related sciences,Applied Biosciences,361.0,0.0,,0.0,361,,489,7,Cork Institute of Technology,0.0,,,CR
Physical sciences,Analytical and Pharmaceutical Chemistry,240.0,0.0,,0.0,240,,487,7,Cork Institute of Technology,0.0,,,CR
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321.0,0.0,,0.0,321,,422,7,Cork Institute of Technology,0.0,,,CR
Information and Communication Technologies (ICTs),Software Development,307.0,0.0,,0.0,307,,413,7,Cork Institute of Technology,0.0,,,CR
Business and administration,Business (Common Entry),255.0,0.0,,0.0,255,,433,7,Cork Institute of Technology,0.0,,,CR
